LOCATION,TIME,Value
USA,1981,23.275386
USA,1982,23.832958
USA,1983,24.504095
USA,1984,24.415866
USA,1985,23.915321
USA,1986,24.088905
USA,1987,23.999156
USA,1988,23.780565
USA,1989,24.280219
USA,1990,23.987495
USA,1991,23.758841
USA,1992,30.160175
USA,1993,31.726536
USA,1994,31.958218
USA,1995,33.599472
USA,1996,35.157932
USA,1997,35.704861
USA,1998,36.195801
USA,1999,37.368931
USA,2000,38.083973
USA,2001,38.717625
USA,2002,39.336624
USA,2003,38.652836
USA,2004,39.042027
USA,2005,39.363441
USA,2006,39.239269
USA,2007,40.386425
USA,2008,41.564896
USA,2009,41.056328
USA,2010,42.310982
USA,2011,43.132984
USA,2012,44.042595
USA,2013,44.779469
USA,2014,45.663815
USA,2015,46.517712
USA,2016,47.521809
USA,2017,47.757
USA,2018,49.373737
USA,2019,50.380188
USA,2020,51.856071
