Country,GDP per capita,Year
China,10216.63033,2019
China,9976.677137,2018
China,8879.438667,2017
China,8147.938,2016
China,8066.943,2015
Malaysia,11414.20269,2019
Malaysia,11377.6542,2018
Malaysia,10259.30481,2017
Malaysia,9817.78709,2016
Malaysia,9955.242722,2015
Qatar,62087.97413,2019
Qatar,65907.94843,2018
Qatar,59124.86727,2017
Qatar,57162.96801,2016
Qatar,63039.11263,2015
Sierra Lione,527.5341745,2019
Sierra Lione,533.9915333,2018
Sierra Lione,499.3809746,2017
Sierra Lione,501.4151655,2016
Sierra Lione,588.2288628,2015
South Africa,6001.401121,2019
South Africa,6372.605655,2018
South Africa,6131.47945,2017
South Africa,5272.543648,2016
South Africa,5734.633422,2015
