Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Angola,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.394,37.402,37.209,37.05,36.457,27.051,22.043,23.806,19.695,19.245,19.906,2019
Angola,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,37.163,29.558,26.691,33.149,39.81,57.093,75.663,69.265,89,107.107,127.115,2019
Benin,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.076,14.728,14.236,14.894,14.225,18.153,15.428,17.785,16.568,14.601,19.675,2019
Benin,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,21,21.86,19.54,18.504,22.282,30.9,35.923,39.598,41.08,41.23,45.387,2019
Botswana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,42.034,36.409,35.83,32.017,34.652,35.752,32.538,31.967,32.459,33.82,36.381,2020
Botswana,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,20.385,20.357,19.154,17.396,17.346,17.19,15.606,13.397,14.197,14.866,19.977,2020
Burkina Faso,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.655,20.436,22.668,25.261,20.928,20.359,21.65,26.131,23.758,23.86,26.858,2019
Burkina Faso,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,27.764,24.504,25.21,25.901,26.555,31.373,33.276,33.498,37.654,42.672,44.326,2019
Burundi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.844,42.187,37.544,34.769,28.459,23.168,22.574,24.093,27.024,31.489,37.12,2020
Burundi,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,46.912,42.706,41.431,37.858,37.971,39.926,46.119,46.902,52.971,60.132,69.513,2020
Cabo Verde,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,39.159,33.284,34.686,33.843,30.487,31.448,29.641,31.572,30.88,31.236,34.71,2019
