Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2016,2017,2018,2019,2020,2021,Estimates Start After
Angola,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.043,23.806,19.695,19.245,19.906,19.458,2019
Benin,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,15.428,17.785,16.568,14.601,19.675,18.713,2019
Botswana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.538,31.967,32.459,33.82,36.381,32.905,2020
Burkina Faso,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.65,26.131,23.758,23.86,26.858,26.269,2019
Burundi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.574,24.093,27.024,31.489,37.12,37.35,2020
Cabo Verde,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.641,31.572,30.88,31.236,34.71,37.638,2019
Cameroon,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.908,19.826,18.546,19.054,17.306,17.15,2019
Central African Republic,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,12.119,13.862,17.606,16.924,24.253,19.281,2019
Chad,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.366,14.88,13.35,14.421,19.765,17.657,2020
Comoros,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.884,18.843,19.334,20.08,18.564,20.766,2018
Democratic Republic of the Congo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.476,10.388,11.125,12.641,10.657,11.801,2019
Republic of Congo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,41.745,28.325,19.617,22.46,23.123,24.79,2018
C“te d'Ivoire,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.743,18.434,17.715,17.329,20.329,19.963,2019
Equatorial Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.819,20.07,19.089,17.317,19.448,17.335,2018
Eritrea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.158,42.792,27.369,33.343,36.385,36.509,2018
Eswatini,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.246,35.077,34.84,34.457,36.25,33.148,2020
Ethiopia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,17.913,17.987,16.099,15.353,14.469,14.824,2020
Gabon,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.848,18.114,17.084,17.407,18.827,18.607,2019
The Gambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.545,24.248,21.142,23.575,23.627,25.386,2018
Ghana,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.308,18.002,21.451,21.079,28.279,25.718,2018
Guinea,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,16.137,17.326,15.608,14.594,18.158,16.512,2019
Guinea-Bissau,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.516,18.108,20.111,19.344,26.15,23.361,2019
Kenya,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.65,26.064,25.599,25.414,25.699,24.963,2019
Lesotho,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,53.789,51.73,54.948,56.016,58.92,52.273,2020
Liberia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,35.696,32.525,31.924,33.64,32.687,30.874,2019
Madagascar,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,13.546,14.942,14.131,14.924,15.101,18.294,2020
Malawi,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.8,30.132,27.712,27.798,32.758,34.225,2019
Mali,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,22.258,22.921,20.307,23.114,25.472,27.336,2018
Mauritius,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,24.032,24.42,24.763,30.465,31.614,29.241,2020
Mozambique,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,29.405,29.978,32.606,30.016,30.833,31.007,2019
Namibia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,40.864,37.576,36.33,37.791,41.231,39.266,2019
Niger,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.362,19.502,21.1,21.57,23.387,22.811,2019
Nigeria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,9.754,12.008,12.82,12.617,12.105,11.761,2019
Rwanda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,25.022,25.092,26.401,28.829,28.554,27.438,2019
