Age,All,Asian,Black,Mixed,White,Other
Age 0 to 4,6.2,8.7,9.5,18,5.6,8.9
Age 5 to 9,5.6,7.7,8.4,13.3,5.1,7.4
Age 10 to 14,5.8,6.9,7.8,11.5,5.5,6.3
Age 15 to 17,3.7,4.2,4.7,6.5,3.6,3.9
Age 18 to 24,9.4,12.9,10.6,13.6,8.9,12.1
Age 25 to 29,6.8,10.7,7.9,8.1,6.4,11.4
Age 30 to 34,6.6,10.7,8.5,6.5,6.1,11.6
Age 35 to 39,6.7,9,8.2,5.2,6.4,9.6
Age 40 to 44,7.3,7.1,9.1,4.8,7.3,7.6
Age 45 to 49,7.3,5.2,8.5,4.1,7.5,5.9
Age 50 to 54,6.4,4.7,5.6,2.6,6.7,4.6
Age 55 to 59,5.7,4,3.1,1.6,6.1,3.5
Age 60 to 64,6,2.8,1.9,1.2,6.6,2.5
Age 65 to 69,4.8,1.8,1.7,0.9,5.3,1.7
Age 70 to 74,3.9,1.7,1.9,0.7,4.3,1.2
Age 75 to 79,3.2,1.2,1.4,0.6,3.5,0.8
Age 80 to 84,2.4,0.6,0.8,0.4,2.7,0.5
Age 85 and over,2.2,0.4,0.4,0.3,2.5,0.4
