LOCATION,TIME,Value
GRC,1998,24.000118
GRC,1999,23.948622
GRC,2000,23.921938
GRC,2001,23.480356
GRC,2002,23.705975
GRC,2003,23.732121
GRC,2004,25.493637
GRC,2005,25.663805
GRC,2006,27.022612
GRC,2007,28.066544
GRC,2008,28.454678
GRC,2009,29.599367
GRC,2010,31.15996
GRC,2011,32.736923
GRC,2012,34.977001
GRC,2013,37.168961
GRC,2014,38.66687
GRC,2015,40.063866
GRC,2016,40.979172
GRC,2017,42.479965
GRC,2018,42.821678
GRC,2019,42.406635
GRC,2020,43.685429
ESP,1998,31.182714
ESP,1999,32.381985
ESP,2000,33.978283
ESP,2001,35.42757
ESP,2002,37.484509
ESP,2003,37.90205
ESP,2004,38.99802
ESP,2005,40.703537
ESP,2006,40.32674
ESP,2007,40.025246
ESP,2008,40.047447
ESP,2009,39.458729
ESP,2010,40.312317
ESP,2011,40.311493
ESP,2012,40.386406
ESP,2013,41.089592
ESP,2014,41.477402
ESP,2015,40.959778
ESP,2016,40.980919
ESP,2017,42.644691
ESP,2018,44.259609
ESP,2019,46.508266
ESP,2020,47.379524
GBR,1998,25.98814
GBR,1999,27.681889
GBR,2000,28.901674
GBR,2001,30.066694
GBR,2002,31.410488
GBR,2003,33.321693
GBR,2004,34.897144
GBR,2005,35.345379
GBR,2006,41.8297
GBR,2007,43.08427
GBR,2008,43.337868
GBR,2009,45.283749
GBR,2010,46.046906
GBR,2011,46.910782
GBR,2012,47.860847
GBR,2013,48.31358
GBR,2014,49.185982
GBR,2015,49.943413
GBR,2016,51.775383
GBR,2017,51.624851
GBR,2018,50.752552
GBR,2019,51.809521
GBR,2020,55.833538
OAVG,1998,23.561205
OAVG,1999,24.00555
OAVG,2000,26.096052
OAVG,2001,26.513426
OAVG,2002,27.809536
OAVG,2003,29.54027
OAVG,2004,30.445183
OAVG,2005,32.151055
OAVG,2006,32.859074
OAVG,2007,33.899803
OAVG,2008,35.149754
OAVG,2009,36.213562
OAVG,2010,37.356374
OAVG,2011,37.897794
OAVG,2012,39.620944
OAVG,2013,40.167011
OAVG,2014,41.050865
OAVG,2015,41.31048
OAVG,2016,42.748027
OAVG,2017,43.171617
OAVG,2018,43.996352
OAVG,2019,44.761941
OAVG,2020,45.513483
ITA,1998,8.9524889
ITA,1999,9.9974318
ITA,2000,10.429003
ITA,2001,11.754972
ITA,2002,12.461238
ITA,2003,12.695857
ITA,2004,14.792785
ITA,2005,16.105026
ITA,2006,17.283623
ITA,2007,18.863468
ITA,2008,19.90484
ITA,2009,20.160688
ITA,2010,20.719744
ITA,2011,20.983423
ITA,2012,22.250719
ITA,2013,22.744907
ITA,2014,24.158854
ITA,2015,25.149963
ITA,2016,25.584146
ITA,2017,26.816479
ITA,2018,27.726679
ITA,2019,27.744524
ITA,2020,28.858971
