Religion,Local Authority,Value
No religion,Kent,399153
No religion,Leeds,237888
No religion,Surrey,292737
No religion,Essex,399325
No religion,Manchester,153701
No religion,Sheffield,199852
No religion,Glasgow City,186228
No religion,Birmingham,218455
No religion,Bristol,145063
No religion,Cardiff,108886
Christian,Kent,990130
Christian,Leeds,444880
Christian,Surrey,745396
Christian,Essex,937680
Christian,Manchester,243255
Christian,Sheffield,290066
Christian,Glasgow City,355186
Christian,Birmingham,514886
Christian,Bristol,237859
Christian,Cardiff,180967
Budhist,Kent,4929
Budhist,Leeds,1715
Budhist,Surrey,6215
Budhist,Essex,4249
Budhist,Manchester,2115
Budhist,Sheffield,947
Budhist,Glasgow City,
Budhist,Birmingham,10096
Budhist,Bristol,1725
Budhist,Cardiff,1014
Hindu,Kent,14103
Hindu,Leeds,8277
Hindu,Surrey,20342
Hindu,Essex,6837
Hindu,Manchester,7455
Hindu,Sheffield,2979
Hindu,Glasgow City,4627
Hindu,Birmingham,25874
Hindu,Bristol,2905
Hindu,Cardiff,6200
Jewish,Kent,1435
Jewish,Leeds,4762
Jewish,Surrey,3131
Jewish,Essex,11715
Jewish,Manchester,1402
Jewish,Sheffield,1147
Jewish,Glasgow City,1146
Jewish,Birmingham,1101
Jewish,Bristol,
Jewish,Cardiff,900
Muslim,Kent,13879
Muslim,Leeds,29661
Muslim,Surrey,30170
Muslim,Essex,5109
Muslim,Manchester,83081
Muslim,Sheffield,39537
Muslim,Glasgow City,21727
Muslim,Birmingham,248634
Muslim,Bristol,22086
Muslim,Cardiff,34608
Sikh,Kent,3152
Sikh,Leeds,11767
Sikh,Surrey,2307
Sikh,Essex,1385
Sikh,Manchester,1362
Sikh,Sheffield,1136
Sikh,Glasgow City,1336
Sikh,Birmingham,26528
Sikh,Bristol,1952
Sikh,Cardiff,1197
Other,Kent,13833
Other,Leeds,4769
Other,Surrey,11217
Other,Essex,12608
Other,Manchester,2262
Other,Sheffield,5327
Other,Glasgow City,7149
Other,Birmingham,12861
Other,Bristol,8546
Other,Cardiff,5764
