Employment rate ,Value
Mar 71,72.2
Apr 71,72.1
May 71,72
Jun 71,72
Jul 71,71.9
Aug 71,71.8
Sep 71,71.7
Oct 71,71.6
Nov 71,71.5
Dec 71,71.5
Jan 72,71.5
Feb 72,71.6
Mar 72,71.8
Apr 72,71.9
May 72,71.9
Jun 72,71.9
Jul 72,71.9
Aug 72,71.9
Sep 72,72
Oct 72,72
Nov 72,72.1
Dec 72,72.2
Jan 73,72.4
Feb 73,72.6
Mar 73,72.8
Apr 73,72.9
May 73,73
Jun 73,73
Jul 73,72.9
Aug 73,72.9
Sep 73,72.9
Oct 73,72.9
Nov 73,73
Dec 73,73
Jan 74,73
Feb 74,73
Mar 74,72.9
Apr 74,72.9
May 74,72.9
Jun 74,73
Jul 74,73
Aug 74,73.1
Sep 74,73.1
Oct 74,73.1
Nov 74,73.1
Dec 74,73.1
Jan 75,73
Feb 75,72.9
Mar 75,72.9
Apr 75,72.8
May 75,72.7
Jun 75,72.7
Jul 75,72.7
Aug 75,72.6
Sep 75,72.6
Oct 75,72.5
Nov 75,72.4
Dec 75,72.3
Jan 76,72.3
Feb 76,72.2
Mar 76,72.1
Apr 76,72
May 76,72
Jun 76,72
Jul 76,71.9
Aug 76,71.9
Sep 76,71.9
Oct 76,71.8
Nov 76,71.8
Dec 76,71.8
Jan 77,71.8
Feb 77,71.8
Mar 77,71.8
Apr 77,71.7
May 77,71.7
Jun 77,71.6
Jul 77,71.6
Aug 77,71.6
Sep 77,71.6
Oct 77,71.6
Nov 77,71.5
Dec 77,71.5
Jan 78,71.5
Feb 78,71.5
Mar 78,71.5
Apr 78,71.5
May 78,71.5
Jun 78,71.5
Jul 78,71.5
Aug 78,71.5
Sep 78,71.5
Oct 78,71.6
Nov 78,71.6
Dec 78,71.7
Jan 79,71.8
Feb 79,71.8
Mar 79,71.8
Apr 79,71.7
May 79,71.7
Jun 79,71.7
Jul 79,71.8
Aug 79,71.8
Sep 79,71.8
Oct 79,71.8
Nov 79,71.8
Dec 79,71.7
Jan 80,71.7
Feb 80,71.6
Mar 80,71.5
Apr 80,71.4
May 80,71.3
Jun 80,71.2
Jul 80,71.1
Aug 80,70.9
Sep 80,70.7
Oct 80,70.4
Nov 80,70.2
Dec 80,69.9
Jan 81,69.7
Feb 81,69.5
Mar 81,69.3
Apr 81,69.1
May 81,68.9
Jun 81,68.7
Jul 81,68.5
Aug 81,68.4
Sep 81,68.2
Oct 81,68.1
Nov 81,67.9
Dec 81,67.7
Jan 82,67.6
Feb 82,67.5
Mar 82,67.4
Apr 82,67.3
May 82,67.2
Jun 82,67.1
Jul 82,66.9
Aug 82,66.8
Sep 82,66.6
Oct 82,66.5
Nov 82,66.3
Dec 82,66.1
Jan 83,65.9
Feb 83,65.8
Mar 83,65.7
Apr 83,65.6
May 83,65.6
Jun 83,65.6
Jul 83,65.6
Aug 83,65.7
Sep 83,65.9
Oct 83,66
Nov 83,66.2
Dec 83,66.3
Jan 84,66.4
Feb 84,66.4
Mar 84,66.5
Apr 84,66.6
May 84,66.6
Jun 84,66.7
Jul 84,66.7
Aug 84,66.8
Sep 84,66.8
Oct 84,66.9
Nov 84,67
Dec 84,67.1
Jan 85,67.1
Feb 85,67.2
Mar 85,67.3
Apr 85,67.3
May 85,67.3
Jun 85,67.4
Jul 85,67.4
Aug 85,67.4
Sep 85,67.5
Oct 85,67.5
Nov 85,67.5
Dec 85,67.5
Jan 86,67.5
Feb 86,67.6
Mar 86,67.6
Apr 86,67.6
May 86,67.6
Jun 86,67.6
Jul 86,67.6
Aug 86,67.7
Sep 86,67.8
Oct 86,67.8
Nov 86,67.9
Dec 86,67.9
Jan 87,68
Feb 87,68
Mar 87,68.1
Apr 87,68.2
May 87,68.3
Jun 87,68.5
Jul 87,68.7
Aug 87,68.9
Sep 87,69.1
Oct 87,69.3
Nov 87,69.5
Dec 87,69.7
Jan 88,69.9
Feb 88,70
Mar 88,70.2
Apr 88,70.4
May 88,70.5
Jun 88,70.7
Jul 88,70.8
Aug 88,70.9
Sep 88,71.1
Oct 88,71.3
Nov 88,71.4
Dec 88,71.5
Jan 89,71.7
Feb 89,71.9
Mar 89,72.1
Apr 89,72.3
May 89,72.4
Jun 89,72.4
Jul 89,72.5
Aug 89,72.5
Sep 89,72.6
Oct 89,72.6
Nov 89,72.7
Dec 89,72.8
Jan 90,72.8
Feb 90,72.8
Mar 90,72.8
Apr 90,72.8
May 90,72.8
Jun 90,72.8
Jul 90,72.8
Aug 90,72.8
Sep 90,72.7
Oct 90,72.6
Nov 90,72.4
Dec 90,72.3
Jan 91,72.1
Feb 91,71.9
Mar 91,71.7
Apr 91,71.5
May 91,71.2
Jun 91,71
Jul 91,70.7
Aug 91,70.5
Sep 91,70.3
Oct 91,70.1
Nov 91,69.9
Dec 91,69.8
Jan 92,69.6
Feb 92,69.5
Mar 92,69.4
Apr 92,69.3
May 92,69.2
Jun 92,69.1
Jul 92,69
Aug 92,68.9
Sep 92,68.9
Oct 92,68.8
Nov 92,68.7
Dec 92,68.5
Jan 93,68.4
Feb 93,68.3
Mar 93,68.4
Apr 93,68.3
May 93,68.4
Jun 93,68.4
Jul 93,68.4
Aug 93,68.4
Sep 93,68.5
Oct 93,68.5
Nov 93,68.5
Dec 93,68.5
Jan 94,68.5
Feb 94,68.6
Mar 94,68.7
Apr 94,68.8
May 94,68.8
Jun 94,68.8
Jul 94,69
Aug 94,69
Sep 94,69
Oct 94,69
Nov 94,69.1
Dec 94,69.1
Jan 95,69
Feb 95,69.1
Mar 95,69.2
Apr 95,69.3
May 95,69.4
Jun 95,69.4
Jul 95,69.5
Aug 95,69.6
Sep 95,69.6
Oct 95,69.7
Nov 95,69.7
Dec 95,69.9
Jan 96,70
Feb 96,69.9
Mar 96,69.9
Apr 96,69.9
May 96,69.9
Jun 96,69.9
Jul 96,69.9
Aug 96,70
Sep 96,70
Oct 96,70.1
Nov 96,70.3
Dec 96,70.3
Jan 97,70.5
Feb 97,70.6
Mar 97,70.8
Apr 97,70.9
May 97,70.9
Jun 97,71
Jul 97,70.9
Aug 97,70.9
Sep 97,71.1
Oct 97,71.1
Nov 97,71.2
Dec 97,71.2
Jan 98,71.2
Feb 98,71.2
Mar 98,71.3
Apr 98,71.3
May 98,71.3
Jun 98,71.3
Jul 98,71.4
Aug 98,71.6
Sep 98,71.6
Oct 98,71.6
Nov 98,71.8
Dec 98,71.8
Jan 99,71.9
Feb 99,71.9
Mar 99,71.9
Apr 99,71.8
